井号,时间,工种,操作员,深度,速度,速度单位,张力,张力增量,张力单位,最大张力,缆头张力,安全张力,异常数据标识
陕50H-3王,2025-07-14 10:25:19,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:18,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:17,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:16,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:15,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:14,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:13,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:12,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:11,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:10,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:09,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:08,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:07,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:06,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:05,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:04,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:03,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:02,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:01,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:25:00,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:59,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:58,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:57,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:56,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:55,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:54,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:53,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:52,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:51,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:50,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:49,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:48,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:47,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:46,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:45,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:44,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:43,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:42,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:41,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:40,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:39,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:38,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:37,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:36,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:35,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:34,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:33,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:32,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:31,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:30,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:29,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:28,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:27,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:26,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:25,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:24,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:23,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:22,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:21,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:20,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:19,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:18,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:17,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:16,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:15,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:14,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:13,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:12,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:11,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:10,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:09,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:08,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:07,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:06,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:05,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:04,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:03,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:02,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:01,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:24:00,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:59,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:58,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:57,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:56,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:55,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:54,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:53,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:52,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:51,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:50,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:49,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:48,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:47,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:46,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:45,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:44,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:43,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:42,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:41,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:40,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:39,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:38,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:37,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:36,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:35,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:34,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:33,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:32,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:31,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:30,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:29,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:28,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:27,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:26,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:25,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:24,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:23,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
陕50H-3王,2025-07-14 10:23:22,超级用户,JerryW,1000.00,0.00,m/h,0.00,-128.33,kn,1000.00,0.00,-10.00,无
