Size:;222;
4,2,1,1,3,1,3;Auto Graph Refresh;
4,2,1,1,3,1,4;Auto-Scale Time Axis;
4,2,1,1,3,1,5;Set Time Scale;
4,2,1,1,4,1;Cycle Number;
4,2,1,2,1,1;CHOOSE PARAMETER;
4,2,1,2,1,2,1;Recipe;
4,2,1,2,1,2,10;Tool Absolute(mm);
4,2,1,2,1,2,11;Weld Collapse Dist;
4,2,1,2,1,2,12;Hold Collapse Dist;
4,2,1,2,1,2,13;Total Collapse Dist;
4,2,1,2,1,2,14;Trigger Distance(mm);
4,2,1,2,1,2,15;Velocity(mm/s);
4,2,1,2,1,2,2;Recipe Version;
4,2,1,2,1,2,3;Date Time;
4,2,1,2,1,2,4;Stack Serial;
4,2,1,2,1,2,5;Cycle Counter;
4,2,1,2,1,2,6;Weld Mode;
4,2,1,2,1,2,7;Max Weld Force(N);
4,2,1,2,1,2,8;Find Hold Force(N);
4,2,1,2,1,2,9;Weld Absolute(mm);
4,2,1,2,2,1;Choose;
4,2,2;Analytics;
4,2,3,1;Results;
4,2,3,2;Alarms;
4,2,3,3;EDIT RECIPE;
4,2,3,4;GENERATE REPORT;
4,5,1;Login;
4,5,2,1;Enter Passcode;
4,5,2,2;Login;
4,5,2,3;Too many failed login attempts. System will be locked for 15 minutes.;
4,5,2,4;Invalid Passcode. Please re-enter and try again.;
4,5,2,5;Login Successful;
4,5,2,6;Please enter a passcode;
4,7,1,1;CANCEL;
4,7,1,10;Step@Pk Power;
4,7,1,11;Step@Absolute;
4,7,1,12;Step@Collapse;
4,7,1,13;Step@Ext. Signal;
4,7,1,14;Invalid value is entered, Reverted to old value;
4,7,1,2;DONE;
4,7,1,3;Min;
4,7,1,4;Max;
4,7,1,5;STEPPING;
4,7,1,6;Step;
4,7,1,7;Step Value;
4,7,1,8;Step@Time;
4,7,1,9;Step@Energy;
4,8,1;Production;
4,8,2,1;Active Recipe;
4,8,2,2;Total Cycle Time;
4,8,2,3;Cycle Count;
4,8,2,4;Peak Power;
4,9,1,1,1;Time;
4,9,1,1,2;Energy;
4,9,1,1,3;Peak Power;
4,9,1,1,4;Scrub Time;
4,9,1,1,5;Absolute Distance;
4,9,1,1,6;Collapse Distance;
4,9,2,1,1;GRAPH SETTINGS;
4,9,2,2,1,1,1;Control;
4,9,2,2,1,2,1;Setup;
4,9,2,2,1,3,1;Suspect & Reject;
4,9,2,2,1,4;Limits;
4,9,2,2,2,1;Parameters A-Z;
4,9,2,2,2,2,1;AFTERBURST TIME;
4,9,2,2,2,2,10;PRETRIGGER AMPLITUDE;
4,9,2,2,2,2,11;PRETRIGGER DISTANCE;
4,9,2,2,2,2,2;DISTANCE;
4,9,2,2,2,2,3;AUTO;
4,9,2,2,2,2,4;EXTRA COOLING;
4,9,2,2,2,2,5;HOLD RAMP FORCE TIME;
4,9,2,2,2,2,6;MAX TIMEOUT;
4,9,2,2,2,2,7;POST-WELD SEEK;
4,9,2,2,2,2,8;PRE-WELD SEEK;
4,9,2,2,2,2,9;PRETRIGGER;
4,9,2,2,3,1;Weld Mode;
4,9,2,2,3,2,1;TIME;
4,9,2,2,3,2,2;ENERGY;
4,9,2,2,3,2,3;PEAK POWER;
4,9,2,2,3,2,4;GROUND DETECT;
4,9,2,2,3,2,5;ABSOLUTE DISTANCE;
4,9,2,2,3,2,6;COLLAPSE DISTANCE;
4,9,2,2,4,1,1;AFTERBURST;
4,9,2,2,4,1,2,1;AFTERBURST TIME;
4,9,2,2,4,1,2,2;AFTERBURST DELAY;
4,9,2,2,4,1,2,3;AFTERBURST AMPLITUDE;
4,9,2,2,4,1,2,4;Turn all off;
4,9,2,2,4,2,1;PRETRIGGER;
4,9,2,2,4,2,2,1;DISTANCE;
4,9,2,2,4,2,2,2;AUTO;
4,9,2,2,4,2,2,3;PRETRIGGER AMPLITUDE;
4,9,2,2,4,2,2,4;Turn all off;
4,9,2,2,4,3;Weld Process;
4,9,2,2,5,1;Stack Recipe;
4,9,2,2,6;RECIPE SETTINGS;
4,9,2,2,7,1;Actions;
4,9,2,2,7,10;ABSOLUTE DISTANCE;
4,9,2,2,7,11;COLLAPSE DISTANCE;
4,9,2,2,7,12;SCRUB TIME;
4,9,2,2,7,13;WELD AMPLITUDE;
4,9,2,2,7,14;HOLD TIME;
4,9,2,2,7,2;New;
4,9,2,2,7,3;Save;
4,9,2,2,7,4;Copy;
4,9,2,2,7,5;Validate;
4,9,2,2,7,6;QUICK EDIT;
4,9,2,2,7,7;TIME;
4,9,2,2,7,8;ENERGY;
4,9,2,2,7,9;PEAK POWER;
4,9,2,3,1;RESULT VIEW;
4,9,2,4;Lab;
4,9,3;Recipes;
4,9,4,1;Recipes;
4,9,4,10;SET AS ACTIVE;
4,9,4,11;Cycle Count;
4,9,4,12;Sequence Count;
4,9,4,2;Sequences;
4,9,4,3;New Recipe;
4,9,4,4;New Sequence;
4,9,4,5;Actions;
4,9,4,6;PRODUCTION RUN;
4,9,4,7;EDIT RECIPE;
4,9,4,8;EDIT SEQUENCE;
4,9,4,9;RESET CYCLE COUNT;
5,1,1,1;Select Language;
5,1,1,2;CANCEL;
5,1,1,3;SAVE;
5,2,1;Action Center;
5,2,2;Actuator Setup;
5,2,3;Diagnostics;
5,2,4;Import/ Export;
5,2,5;Logout;
5,2,6;Exit;
5,2,7;Machine;
